"Id[String]","Name[String]","UniqueStorageId[Int]","SortOrder[Int]","Tags[String]","CraftSeconds[Float]","OutputText[String]","DropIds[String]","IconCameraId[String]","IconAsset[Asset Reference]","IsKitbashed2DIcon[Bool]","Is3DIcon[Bool]","IsImageIcon[Bool]","InputItemId1[String]","InputCurrencyId1[String]","InputAmount1[Int]","InputItemId2[String]","InputCurrencyId2[String]","InputAmount2[Int]","InputItemId3[String]","InputCurrencyId3[String]","InputAmount3[Int]","InputItemId4[String]","InputCurrencyId4[String]","InputAmount4[Int]"
"Carrot Seeds","Carrot Seeds","1","1","seed","15.0","","Carrot Seed Craft","","2384463187A515B5","False","True","False","Carrot","","1","","","0","","","0","","","0"
"Wheat Seeds","Wheat Seeds","2","2","seed","15.0","","Wheat Seed Craft","","5DADA363F689825D","False","True","False","Wheat","","1","","","0","","","0","","","0"
"Grape Seeds","Grape Seeds","3","3","seed","15.0","","Grape Seed Craft","","937A216FCF5F4D31","False","True","False","Grapes","","1","","","0","","","0","","","0"
"Watermelon Seeds","Watermelon Seeds","4","4","seed","15.0","","Watermelon Seed Craft","","6DA92014CE940D8A","False","True","False","Watermelon","","1","","","0","","","0","","","0"
"Apple Seeds","Apple Seeds","5","5","seed","15.0","","Apple Seed Craft","","4555BBDA1E6E33B2","False","True","False","Apple","","1","","","0","","","0","","","0"
"Tomato Seeds","Tomato Seeds","6","6","seed","15.0","","Tomato Seed Craft","","59C3CB0A52D636E8","False","True","False","Tomato","","1","","","0","","","0","","","0"
"Watering Can","Watering Can","7","7","tool","60.0","","Watering Can Craft","","81E8E61FF489ED9A","False","True","False","Metal","","1","Wood","","1","","","0","","","0"
"Shovel","Shovel","8","8","tool","60.0","","Shovel Craft","","B4E8A829B5B5EF25","False","True","False","Metal","","1","Wood","","1","","","0","","","0"
"Axe","Sturdy Axe","9","9","tool","120.0","","Axe Craft","","879CE967665516F2","False","True","False","Metal","","6","Wood","","6","","","0","","","0"
"Pickaxe","Pickaxe","10","10","tool","180.0","","Pickaxe Craft","","4E42531355DEAA1D","False","True","False","Metal","","8","Wood","","13","","","0","","","0"
"Hammer","Hammer","11","11","tool","60.0","","Hammer Craft","","C38DE6F3E723F632","False","True","False","Metal","","1","Wood","","1","","","0","","","0"
"Sickle","Sickle","12","12","tool","90.0","","Sickle Craft","","869F8A46A6CA9A52","False","True","False","Metal","","2","Wood","","2","","","0","","","0"
